,id,Time,Type,Notes,mod_Notes,dict_Notes,Mica,Windel,datetime
405,182,08:48:44 03-22-2021,Pee,Mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-22 08:48:44
406,179,06:19:15 03-22-2021,Pee,En la mica y pañal mojado,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-22 06:19:15
408,178,04:46:10 03-22-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-22 04:46:10
409,177,03:13:31 03-22-2021,Pee,En el pañal y mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-22 03:13:31
410,176,23:46:51 03-21-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-21 23:46:51
411,175,20:31:40 03-21-2021,Pee,In Windel,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-21 20:31:40
413,173,14:40:28 03-21-2021,Pee,En la mica y pañal,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-21 14:40:28
414,172,12:35:48 03-21-2021,Pee,En la mica y pañal lleno,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-21 12:35:48
416,171,09:06:32 03-21-2021,Pee,Pañal lleno,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-21 09:06:32
417,169,05:46:22 03-21-2021,Pee,En el pañal,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-21 05:46:22
418,168,00:13:29 03-21-2021,Pee,Pañal mojado,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-21 00:13:29
419,167,20:10:05 03-20-2021,Pee,Töpfchen und Windel,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-20 20:10:05
420,166,17:10:42 03-20-2021,Pee,Mica y pañal lleno,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-20 17:10:42
421,165,14:32:37 03-20-2021,Pee,Pañal lleno,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-20 14:32:37
422,163,11:29:01 03-20-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-03-20 11:29:01
423,164,09:30:40 03-20-2021,Pee,Pañal lleno. Después del baño en la toalla,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-20 09:30:40
425,161,04:26:35 03-20-2021,Pee,Pañal lleno,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-20 04:26:35
426,158,20:19:56 03-19-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-03-19 20:19:56
427,154,18:58:05 03-19-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-03-19 18:58:05
428,155,15:50:31 03-19-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-03-19 15:50:31
429,157,13:00:38 03-19-2021,Pee,En la mica,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-03-19 13:00:38
433,152,04:59:56 03-18-2021,Pee,Pañal lleno,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-18 04:59:56
434,150,02:20:31 03-18-2021,Pee,Windel voll,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-18 02:20:31
435,149,00:13:20 03-18-2021,Pee,En el pañal,"Windel: nass, Mica: False","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-18 00:13:20
437,147,13:47:48 03-17-2021,Pee,En la mica y pañal mojado. Después de despertarse,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-17 13:47:48
438,146,11:35:45 03-17-2021,Pee,En la mica. Arqueó la espalda mientras en el cambiador,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-03-17 11:35:45
439,145,11:16:04 03-17-2021,Pee,En la mica después de despertarse,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-03-17 11:16:04
440,144,08:51:50 03-17-2021,Pee,Pañal lleno y pipí en la mica,"Windel: nass, Mica: True","{'Windel': 'nass', 'Mica': True}",True,nass,2021-03-17 08:51:50
443,141,00:00:59 03-17-2021,Pee,En la mica. 15 minutos después de comer,"Windel: trocken, Mica: True","{'Windel': 'trocken', 'Mica': True}",True,trocken,2021-03-17 00:00:59
